The Conjuring 2,Vera Farmiga- Patrick Wilson- Madison Wolfe- Frances O'Connor
Ant-Man,Paul Rudd- Michael Douglas- Corey Stoll- Evangeline Lilly
Bridget Jones's Baby,Renée Zellweger- Gemma Jones- Jim Broadbent-Sally Phillips
The VVitch: A New-England Folktale,Anya Taylor-Joy- Ralph Ineson- Kate Dickie- Julian Richings
Cinderella,Lily James- Cate Blanchett- Richard Madden-Helena Bonham Carter
Realive,Tom Hughes- Charlotte Le Bon- Oona Chaplin- Barry Ward
Forushande,Taraneh Alidoosti- Shahab Hosseini- Babak Karimi-Farid Sajjadi Hosseini
Love,Aomi Muyock- Karl Glusman- Klara Kristin- Juan Saavedra
Billy Lynn's Long Halftime Walk,Joe Alwyn- Garrett Hedlund- Arturo Castro- Mason Lee
Crimson Peak,Mia Wasikowska- Jessica Chastain- Tom Hiddleston- Charlie Hunnam
Drive,Ryan Gosling- Carey Mulligan- Bryan Cranston- Albert Brooks
Trainwreck,Amy Schumer- Bill Hader- Brie Larson- Colin Quinn
The Light Between Oceans,Michael Fassbender- Alicia Vikander- Rachel Weisz- Florence Clery
Below Her Mouth,Erika Linder- Natalie Krill- Sebastian Pigott- Mayko Nguyen
Spotlight,Mark Ruffalo- Michael Keaton- Rachel McAdams- Liev Schreiber
Morgan,Kate Mara- Anya Taylor-Joy- Rose Leslie- Michael Yare
Warrior,Tom Hardy- Nick Nolte- Joel Edgerton- Jennifer Morrison
Captain America: The First Avenger,Chris Evans- Hugo Weaving- Samuel L. Jackson-Hayley Atwell
Hacker,Callan McAuliffe- Lorraine Nicholson- Daniel Eric Gold- Clifton Collins Jr.
Into the Wild,Emile Hirsch- Vince Vaughn- Catherine Keener- Marcia Gay Harden
The Imitation Game,Benedict Cumberbatch- Keira Knightley- Matthew Goode- Allen Leech
Central Intelligence,Dwayne Johnson- Kevin Hart- Danielle Nicolet- Amy Ryan
